"Ymd","Spots"
1889-03-31,11.1290322580645
1889-04-30,7.33333333333333
1889-05-31,3.96774193548387
1889-06-30,10.7666666666667
1889-07-31,15.7741935483871
1889-08-31,34.2903225806452
1889-09-30,10.8666666666667
1889-10-31,3.41935483870968
1889-11-30,0.3
1889-12-31,11.1935483870968
1890-01-31,8.83870967741935
1890-02-28,1.07142857142857
1890-03-31,8.48387096774194
1890-04-30,2.66666666666667
1890-05-31,7.93548387096774
1890-06-30,2.2
1890-07-31,19.3225806451613
1890-08-31,14.1612903225806
1890-09-30,28.6333333333333
1890-10-31,18.6129032258065
1890-11-30,15.9333333333333
1890-12-31,13.0645161290323
1891-01-31,22.5483870967742
1891-02-28,36.9285714285714
1891-03-31,17.1935483870968
1891-04-30,34.2333333333333
1891-05-31,68.4838709677419
1891-06-30,80.4333333333333
1891-07-31,98
1891-08-31,55.0645161290323
1891-09-30,89.7333333333333
1891-10-31,86
1891-11-30,69.8333333333333
1891-12-31,54.258064516129
1892-01-31,115.225806451613
1892-02-29,126.068965517241
1892-03-31,83.258064516129
1892-04-30,116.033333333333
1892-05-31,132.709677419355
1892-06-30,127.3
1892-07-31,127.58064516129
1892-08-31,169
1892-09-30,104.666666666667
1892-10-31,117.483870967742
1892-11-30,108.9
1892-12-31,131.032258064516
1893-01-31,125
1893-02-28,121.642857142857
1893-03-31,109.548387096774
1893-04-30,146.8
1893-05-31,141.290322580645
1893-06-30,149.833333333333
1893-07-31,147.58064516129
1893-08-31,215.354838709677
1893-09-30,129.866666666667
1893-10-31,133.258064516129
1893-11-30,125.2
1893-12-31,156.354838709677
1894-01-31,138.612903225806
1894-02-28,141.035714285714
1894-03-31,87.0967741935484
1894-04-30,136.033333333333
1894-05-31,168.677419354839
1894-06-30,164.8
1894-07-31,176.677419354839
1894-08-31,117.096774193548
1894-09-30,110
1894-10-31,125.677419354839
1894-11-30,94.3
1894-12-31,100.129032258065
1895-01-31,105.41935483871
1895-02-28,112
1895-03-31,101.612903225806
1895-04-30,128.2
1895-05-31,112.451612903226
1895-06-30,119.133333333333
1895-07-31,79.6774193548387
1895-08-31,114.935483870968
1895-09-30,96.1333333333333
1895-10-31,113.161290322581
1895-11-30,78.6333333333333
1895-12-31,117.870967741935
1896-01-31,48.3548387096774
1896-02-29,95.6896551724138
1896-03-31,86.4838709677419
1896-04-30,73
1896-05-31,46.0967741935484
1896-06-30,81.7
1896-07-31,75.1612903225806
1896-08-31,45.4193548387097
1896-09-30,102.2
1896-10-31,47.8709677419355
1896-11-30,63.3333333333333
1896-12-31,71
1897-01-31,67.6451612903226
1897-02-28,48.9642857142857
1897-03-31,48.6774193548387
1897-04-30,51.6666666666667
1897-05-31,33.258064516129
1897-06-30,18.9333333333333
1897-07-31,46.0645161290323
1897-08-31,36.3548387096774
1897-09-30,80.3666666666667
1897-10-31,23.9032258064516
1897-11-30,14
1897-12-31,55.4516129032258
1898-01-31,50.3548387096774
1898-02-28,60.6785714285714
1898-03-31,63.8709677419355
1898-04-30,24.2
1898-05-31,43
1898-06-30,37.1333333333333
1898-07-31,15.0322580645161
1898-08-31,52.2903225806452
1898-09-30,58.0666666666667
1898-10-31,57.1290322580645
1898-11-30,51.6
1898-12-31,21.0645161290323
1899-01-31,32.3870967741936
1899-02-28,15.3214285714286
1899-03-31,30.258064516129
1899-04-30,23.6333333333333
1899-05-31,12.9032258064516
1899-06-30,34.1333333333333
1899-07-31,22.5483870967742
1899-08-31,4.90322580645161
1899-09-30,14
1899-10-31,21.7096774193548
1899-11-30,13.0333333333333
1899-12-31,17.5806451612903
1900-01-31,15.6774193548387
1900-02-28,22.8214285714286
1900-03-31,14.3548387096774
1900-04-30,26.7666666666667
1900-05-31,25.3225806451613
1900-06-30,20.1333333333333
1900-07-31,13.9354838709677
1900-08-31,7.12903225806452
1900-09-30,13.8666666666667
1900-10-31,21.6129032258065
1900-11-30,7.53333333333333
1900-12-31,0.483870967741935
1901-01-31,0.387096774193548
1901-02-28,4.03571428571429
1901-03-31,7.38709677419355
1901-04-30,0
1901-05-31,17
1901-06-30,9.66666666666667
1901-07-31,1.16129032258065
1901-08-31,1.70967741935484
1901-09-30,0.933333333333333
1901-10-31,6.25806451612903
1901-11-30,6.4
1901-12-31,0
1902-01-31,9.29032258064516
1902-02-28,0
1902-03-31,20.6774193548387
1902-04-30,0
1902-05-31,4.67741935483871
1902-06-30,2.4
1902-07-31,1.51612903225806
1902-08-31,3.7741935483871
1902-09-30,12.6333333333333
1902-10-31,27.1935483870968
1902-11-30,17.1666666666667
1902-12-31,1.80645161290323
1903-01-31,13.8709677419355
1903-02-28,28.4285714285714
1903-03-31,22.4838709677419
1903-04-30,43.5333333333333
1903-05-31,24.3225806451613
1903-06-30,27.2
1903-07-31,46.3548387096774
1903-08-31,48
1903-09-30,18.5
1903-10-31,64.7741935483871
1903-11-30,74.2333333333333
1903-12-31,76.1612903225806
1904-01-31,52.6129032258064
1904-02-29,40.7931034482759
1904-03-31,61.9354838709677
1904-04-30,71.6333333333333
1904-05-31,65.741935483871
1904-06-30,69.8
1904-07-31,84.258064516129
1904-08-31,97.0967741935484
1904-09-30,50.1666666666667
1904-10-31,90.3548387096774
1904-11-30,63.3666666666667
1904-12-31,91.0967741935484
1905-01-31,91.1935483870968
1905-02-28,143
1905-03-31,94.258064516129
1905-04-30,65.5
1905-05-31,79.9354838709677
1905-06-30,81.5666666666667
1905-07-31,121.645161290323
1905-08-31,98.1290322580645
1905-09-30,91.7666666666667
1905-10-31,131.161290322581
1905-11-30,178.666666666667
1905-12-31,92.5483870967742
1906-01-31,75.8064516129032
1906-02-28,52.25
1906-03-31,107.41935483871
1906-04-30,92.1666666666667
1906-05-31,96.2258064516129
1906-06-30,105.266666666667
1906-07-31,172.677419354839
1906-08-31,79.5806451612903
1906-09-30,93.4666666666667
1906-10-31,29.741935483871
1906-11-30,64.8333333333333
1906-12-31,107.967741935484
1907-01-31,127.354838709677
1907-02-28,180.25
1907-03-31,101.129032258065
1907-04-30,87.6
1907-05-31,71.4193548387097
1907-06-30,67.1666666666667
1907-07-31,82.8709677419355
1907-08-31,90.4516129032258
1907-09-30,141.666666666667
1907-10-31,109.064516129032
1907-11-30,102.466666666667
1907-12-31,78.9032258064516
1908-01-31,65.3548387096774
1908-02-29,56.6206896551724
1908-03-31,47.8709677419355
1908-04-30,96.0666666666667
1908-05-31,68.0322580645161
1908-06-30,80.1666666666667
1908-07-31,65.8064516129032
1908-08-31,150.935483870968
1908-09-30,144.9
1908-10-31,53.9354838709677
1908-11-30,75.8666666666667
1908-12-31,65.9354838709677
1909-01-31,94.6451612903226
1909-02-28,77.6071428571429
1909-03-31,110.516129032258
1909-04-30,53.7
1909-05-31,59.9677419354839
1909-06-30,37.7666666666667
1909-07-31,59.6451612903226
1909-08-31,38.5161290322581
1909-09-30,64.7
1909-10-31,97.3548387096774
1909-11-30,92.9666666666667
1909-12-31,90.2258064516129
1910-01-31,44.0322580645161
1910-02-28,52.5
1910-03-31,35.7096774193548
1910-04-30,14.0666666666667
1910-05-31,36.9354838709677
1910-06-30,20.4666666666667
1910-07-31,23.5483870967742
1910-08-31,19.258064516129
1910-09-30,43.7333333333333
1910-10-31,63.8709677419355
1910-11-30,8.26666666666667
1910-12-31,9.61290322580645
1911-01-31,5.58064516129032
1911-02-28,15.0357142857143
1911-03-31,13
1911-04-30,27.6333333333333
1911-05-31,15.1290322580645
1911-06-30,3.73333333333333
1911-07-31,5.93548387096774
1911-08-31,6.74193548387097
1911-09-30,6.66666666666667
1911-10-31,4.45161290322581
1911-11-30,6.96666666666667
1911-12-31,3.70967741935484
1912-01-31,0.419354838709677
1912-02-29,0
1912-03-31,8.2258064516129
1912-04-30,7.56666666666667
1912-05-31,7.41935483870968
1912-06-30,6.93333333333333
1912-07-31,4.90322580645161
1912-08-31,0.483870967741935
1912-09-30,15.9333333333333
1912-10-31,7.64516129032258
1912-11-30,1.9
1912-12-31,10.6451612903226
1913-01-31,3.7741935483871
1913-02-28,4.78571428571429
1913-03-31,0.774193548387097
1913-04-30,1.56666666666667
1913-05-31,0
1913-06-30,0
1913-07-31,2.90322580645161
1913-08-31,0.387096774193548
1913-09-30,1.96666666666667
1913-10-31,5.19354838709677
1913-11-30,1.16666666666667
1913-12-31,6.32258064516129
1914-01-31,4.70967741935484
1914-02-28,4.42857142857143
1914-03-31,5.25806451612903
1914-04-30,28.9
1914-05-31,8.74193548387097
1914-06-30,19.0666666666667
1914-07-31,9.06451612903226
1914-08-31,12.9032258064516
1914-09-30,21.2333333333333
1914-10-31,13.6774193548387
1914-11-30,27.3
1914-12-31,37.258064516129
1915-01-31,38.4838709677419
1915-02-28,70.3571428571429
1915-03-31,64.7741935483871
1915-04-30,68.8666666666667
1915-05-31,55.0967741935484
1915-06-30,114.733333333333
1915-07-31,119.41935483871
1915-08-31,116.032258064516
1915-09-30,82.4333333333333
1915-10-31,89.1290322580645
1915-11-30,70.9333333333333
1915-12-31,57.4838709677419
1916-01-31,75.5161290322581
1916-02-29,92.3793103448276
1916-03-31,111.677419354839
1916-04-30,119.766666666667
1916-05-31,123.967741935484
1916-06-30,112.9
1916-07-31,89.3225806451613
1916-08-31,58.5806451612903
1916-09-30,75.0666666666667
1916-10-31,84.5483870967742
1916-11-30,109.466666666667
1916-12-31,88.258064516129
1917-01-31,124.548387096774
1917-02-28,119.857142857143
1917-03-31,158
1917-04-30,124.6
1917-05-31,190.225806451613
1917-06-30,191.433333333333
1917-07-31,199.741935483871
1917-08-31,257.709677419355
1917-09-30,215.566666666667
1917-10-31,120.322580645161
1917-11-30,160.733333333333
1917-12-31,215.516129032258
1918-01-31,159.967741935484
1918-02-28,108.714285714286
1918-03-31,120.41935483871
1918-04-30,134.133333333333
1918-05-31,127.870967741935
1918-06-30,99
1918-07-31,179.451612903226
1918-08-31,169.645161290323
1918-09-30,133.2
1918-10-31,141.709677419355
1918-11-30,138.966666666667
1918-12-31,98.5483870967742
1919-01-31,80.1612903225806
1919-02-28,132.464285714286
1919-03-31,110.870967741935
1919-04-30,86.3333333333333
1919-05-31,146.870967741935
1919-06-30,185.266666666667
1919-07-31,107.838709677419
1919-08-31,115.064516129032
1919-09-30,91.1333333333333
1919-10-31,87.9677419354839
1919-11-30,69.9
1919-12-31,58
1920-01-31,85.258064516129
1920-02-29,89.8275862068966
1920-03-31,116.903225806452
1920-04-30,24.6666666666667
1920-05-31,55.4193548387097
1920-06-30,64.5666666666667
1920-07-31,45.7096774193548
1920-08-31,31.9354838709677
1920-09-30,60.5333333333333
1920-10-31,82.7096774193548
1920-11-30,45.3
1920-12-31,49.8387096774194
1921-01-31,52.5483870967742
1921-02-28,47.1428571428571
1921-03-31,44.4838709677419
1921-04-30,53.9666666666667
1921-05-31,37
1921-06-30,56.1666666666667
1921-07-31,69.741935483871
1921-08-31,37.9677419354839
1921-09-30,29.6
1921-10-31,30.3225806451613
1921-11-30,29.6
1921-12-31,33.9032258064516
1922-01-31,19.741935483871
1922-02-28,43.9285714285714
1922-03-31,91.258064516129
1922-04-30,18.3333333333333
1922-05-31,13.3548387096774
1922-06-30,9.8
1922-07-31,18.2903225806452
1922-08-31,10.9354838709677
1922-09-30,7.8
1922-10-31,10.3548387096774
1922-11-30,12.2333333333333
1922-12-31,29.0322580645161
1923-01-31,7.54838709677419
1923-02-28,2.5
1923-03-31,5.48387096774194
1923-04-30,10.2333333333333
1923-05-31,5.32258064516129
1923-06-30,15.2666666666667
1923-07-31,5.93548387096774
1923-08-31,0.806451612903226
1923-09-30,22.1333333333333
1923-10-31,19.4838709677419
1923-11-30,16.7333333333333
1923-12-31,4.64516129032258
1924-01-31,0.806451612903226
1924-02-29,8.48275862068965
1924-03-31,3
1924-04-30,18.9333333333333
1924-05-31,34.6129032258064
1924-06-30,39.9666666666667
1924-07-31,46.9354838709677
1924-08-31,32.1290322580645
1924-09-30,41.9
1924-10-31,42.6129032258064
1924-11-30,37.5
1924-12-31,27.4838709677419
1925-01-31,9.09677419354839
1925-02-28,38.6071428571429
1925-03-31,29.9677419354839
1925-04-30,52.9666666666667
1925-05-31,71.3548387096774
1925-06-30,79.0666666666667
1925-07-31,64.1935483870968
1925-08-31,63.258064516129
1925-09-30,100.3
1925-10-31,115.322580645161
1925-11-30,97.6
1925-12-31,164.387096774194
1926-01-31,119.709677419355
1926-02-28,116.428571428571
1926-03-31,104.193548387097
1926-04-30,64.1666666666667
1926-05-31,107
1926-06-30,122.366666666667
1926-07-31,87.2258064516129
1926-08-31,102.709677419355
1926-09-30,101.433333333333
1926-10-31,119.258064516129
1926-11-30,100.833333333333
1926-12-31,132.387096774194
